DISTRICT,YEAR,avg_temp,avg_max_temp,temp_range_stddev,annual_precip,avg_humidity,avg_wind,heatwave_days,precip_zscore,avg_temp_lag1,annual_precip_lag1,precip_zscore_lag1,heatwave_days_lag1,temp_range_stddev_lag1
arghakhanchi,2008,21.94551912568306,27.349644808743168,3.700540960347085,1968.91,59.323907103825135,2.28431693989071,43,2.0782683008135905,22.063643835616435,1611.45,1.2171169960228767,45.0,3.2629041087567128
arghakhanchi,2009,22.834082191780823,28.83523287671233,3.405952753307077,1200.3899999999999,51.754246575342464,2.4825205479452057,53,0.22683876811689851,21.94551912568306,1968.91,2.0782683008135905,43.0,3.700540960347085
arghakhanchi,2010,23.153945205479452,28.99205479452055,3.6732307688461736,1336.64,53.52068493150685,2.5756164383561644,88,0.5550765157746363,22.834082191780823,1200.3899999999999,0.22683876811689851,53.0,3.405952753307077
arghakhanchi,2011,21.99821917808219,27.61917808219178,3.387965500610705,1425.88,57.71854794520548,2.420164383561644,32,0.7700632064240049,23.153945205479452,1336.64,0.5550765157746363,88.0,3.6732307688461736
arghakhanchi,2012,22.265245901639343,28.115956284153008,3.555555155669064,1441.5,53.74931693989071,2.5288524590163934,64,0.8076931045408036,21.99821917808219,1425.88,0.7700632064240049,32.0,3.387965500610705
arghakhanchi,2013,21.787013698630137,27.197589041095892,3.439920598315554,1960.12,62.192547945205476,2.390328767123288,39,2.0570924490564413,22.265245901639343,1441.5,0.8076931045408036,64.0,3.555555155669064
arghakhanchi,2014,22.385890410958904,27.98654794520548,3.3389890716312163,1691.66,56.87243835616438,2.4625753424657537,55,1.4103496546623417,21.787013698630137,1960.12,2.0570924490564413,39.0,3.439920598315554
arghakhanchi,2015,22.62991780821918,28.361342465753424,2.948511544264266,1446.44,55.763342465753425,2.4112054794520548,45,0.819593981410009,22.385890410958904,1691.66,1.4103496546623417,55.0,3.3389890716312163
arghakhanchi,2016,23.03609289617486,28.73617486338798,3.5916554395316207,1578.1299999999999,53.90680327868852,2.503497267759563,47,1.1368463042654025,22.62991780821918,1446.44,0.819593981410009,45.0,2.948511544264266
arghakhanchi,2017,23.123753424657533,28.725041095890408,3.4346524862553047,1570.02,55.65780821917808,2.4128767123287673,54,1.1173086298910597,23.03609289617486,1578.1299999999999,1.1368463042654025,47.0,3.5916554395316207
arghakhanchi,2018,22.397945205479452,28.150191780821917,3.422217692955814,1580.72,55.6347397260274,2.4983835616438355,28,1.1430858328263829,23.123753424657533,1570.02,1.1173086298910597,54.0,3.4346524862553047
arghakhanchi,2019,22.33967123287671,27.794191780821915,3.6394435684844786,1621.05,59.76380821917808,2.487808219178082,63,1.240244206133073,22.397945205479452,1580.72,1.1430858328263829,28.0,3.422217692955814
baglung,1982,13.276986301369863,18.893616438356165,2.7299346885196205,818.45,59.330438356164386,2.146465753424658,0,-0.39454014958424616,13.172054794520548,1195.03,0.3491384758732295,0.0,2.973208625683374
baglung,1983,13.49367123287671,19.45123287671233,2.918393433350442,596.9399999999999,53.26260273972602,2.264958904109589,0,-0.8319830629760502,13.276986301369863,818.45,-0.39454014958424616,0.0,2.7299346885196205
baglung,1984,13.68967213114754,19.571120218579235,3.3409580764098896,903.12,54.07322404371585,2.2571311475409837,0,-0.22733193561248866,13.49367123287671,596.9399999999999,-0.8319830629760502,0.0,2.918393433350442
baglung,1985,13.818821917808219,19.623315068493152,3.5010323492023128,770.5600000000001,56.39553424657534,2.248054794520548,0,-0.4891143950915979,13.68967213114754,903.12,-0.22733193561248866,0.0,3.3409580764098896
baglung,1986,13.497561643835615,19.55271232876712,3.021481491492571,589.64,51.5381095890411,2.29013698630137,0,-0.8463992666136293,13.818821917808219,770.5600000000001,-0.4891143950915979,0.0,3.5010323492023128
baglung,1987,14.171068493150683,20.282246575342466,3.083051917645969,760.24,50.9706301369863,2.257068493150685,0,-0.5094945624258195,13.497561643835615,589.64,-0.8463992666136293,0.0,3.021481491492571
baglung,1988,14.179016393442625,19.954562841530056,3.3400743781479982,927.29,55.93868852459017,2.222486338797814,0,-0.17960047781518884,14.171068493150683,760.24,-0.5094945624258195,0.0,3.083051917645969
baglung,1989,13.681534246575342,19.82802739726027,3.1903266044628045,664.46,51.71339726027397,2.3099178082191782,0,-0.6986430534405229,14.179016393442625,927.29,-0.17960047781518884,0.0,3.3400743781479982
baglung,1990,13.95331506849315,19.591753424657533,3.211239285620234,889.95,56.68079452054795,2.2132876712328766,0,-0.2533403468326143,13.681534246575342,664.46,-0.6986430534405229,0.0,3.1903266044628045
baglung,1991,14.093643835616438,20.203780821917807,3.024934019805362,507.33,50.81934246575343,2.323753424657534,0,-1.008946899683375,13.95331506849315,889.95,-0.2533403468326143,0.0,3.211239285620234
baglung,1992,13.896994535519125,20.034016393442624,3.0685031205058158,602.4,50.99079234972678,2.3346994535519126,0,-0.8212005325841073,14.093643835616438,507.33,-1.008946899683375,0.0,3.024934019805362
